"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"12/06/2023","47","PM2.5","Harding High School","27-123-0871","AirNow",".","20","31","47","."
"12/07/2023","50","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","15","31","50","."
"12/08/2023","29","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","18","19","29","."
"12/09/2023","31","Ozone","Anoka County Airport","27-003-1002","AirNow",".","31","9","13","."
"12/10/2023","31","Ozone","Anoka County Airport","27-003-1002","AirNow",".","31","10","29","."
"12/11/2023","48","PM2.5","Harding High School","27-123-0871","AirNow",".","25","17","48","."
"12/12/2023","38","PM10","Pacific Street","27-053-0910","AirNow",".","28","38","19","."
"12/13/2023","55","PM10","Pacific Street","27-053-0910","AirNow",".","20","55","31","."
"12/14/2023","63","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","23","47","63","."
"12/15/2023","73","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","19","42","73","."
"12/16/2023","73","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","18","22","73","."
"12/17/2023","35","Ozone","Anoka County Airport","27-003-1002","AirNow",".","35","11","33","."
"12/18/2023","33","Ozone","Anoka County Airport","27-003-1002","AirNow",".","33","14","18","."
"12/19/2023","26","PM2.5","Harding High School","27-123-0871","AirNow",".","21","22","26","."
"12/20/2023","39","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","19","25","39","."
"12/21/2023","63","PM2.5","B.F. Pearson School","27-139-0505","AirNow",".","14","26","63","."
"12/22/2023","93","PM2.5","St. Michael Elementary School","27-171-3201","AirNow",".","5","37","93","."
"12/23/2023","74","PM2.5","Apple Valley","27-037-0470","AirNow",".","16","26","74","."
"12/24/2023","49","PM2.5","Apple Valley","27-037-0470","AirNow",".","19","14","49","."
"12/25/2023","27","Ozone","Anoka County Airport","27-003-1002","AirNow",".","27","6","23","."
"12/26/2023","22","Ozone","B.F. Pearson School","27-139-0505","AirNow",".","22","6","16","."
"12/27/2023","47","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","16","17","47","."
"12/28/2023","28","PM2.5","Apple Valley","27-037-0470","AirNow",".","19","8","28","."
"12/29/2023","28","PM2.5","Andersen School","27-053-0963","AirNow",".","15","11","28","."
"12/30/2023","30","PM2.5","Apple Valley","27-037-0470","AirNow",".","18","9","30","."
"12/31/2023","26","Ozone","Anoka County Airport","27-003-1002","AirNow",".","26","6","14","."
